Query,Hit,MatchPos,SeedPos,Score
sp|P07395|SYFB_ECOLI,CDW60865.1,95,121,956.0
sp|P07395|SYFB_ECOLI,CDW57800.1,493,22,57.0
sp|P07395|SYFB_ECOLI,CDW60670.1,24,55,54.0
sp|P0CF27|INSB3_ECOLI,CDW60470.1,115,157,648.0
sp|P22787|YIFB_ECOLI,CDW58513.1,0,0,1992.0
sp|P22787|YIFB_ECOLI,CDW56129.1,14,218,57.0
sp|P22787|YIFB_ECOLI,CDW60852.1,39,218,56.0
sp|P22787|YIFB_ECOLI,CDW60899.1,47,218,54.0
sp|P22787|YIFB_ECOLI,CDW57425.1,18,221,54.0
